"line","YDHPL","PLHA","DF","SW100","TSW","POM"
"DAA_057",804.927646241065,54.5960333030051,30.2043822569517,34.2628296467616,228.499968033811,9.98970797430378
"DAA_058",813.454227529038,69.4995276105172,29.6383587719338,37.0049796072275,326.112858945501,10.5435357097637
"DAA_059",903.893915109988,59.5153217431661,30.6015061135032,31.4793551436125,331.071321039418,9.66125214391248
"DAA_060",797.033970159194,59.6382644564742,30.1851611569212,35.8711492464766,256.993965963685,10.8500411129575
"DAA_061",798.225454054648,52.498479362048,30.2732150543101,31.2434624461548,208.182765028737,10.5662098723635
"DAA_062",836.518588107439,51.6002297913295,31.0982198409741,36.6623814725451,231.770674201541,8.43869808860918
"DAA_063",777.8500112541,43.3017557084686,30.2739785737864,43.0772298546478,186.527554451883,9.03858039571674
"DAA_064",799.575783411223,59.5395793938947,30.2280302479729,35.8934066152174,253.661180973261,10.4549000644145
"DAA_065",803.202963238462,50.3055558367901,30.7569407079903,31.5669755343704,206.946899692346,9.6673009004021
"DAA_066",779.793495894861,61.0519411735975,30.2748146126515,37.5614936438574,249.542236854556,10.1696647436588
"DAA_067",885.523218404529,42.5465488216113,31.0825097441424,42.7005119709384,212.368237767125,9.40279410140749
"DAA_068",853.309488574938,48.0133674411036,29.8821005853453,37.9035265346505,244.085973147484,10.4642010022572
"DAA_069",901.662644836742,45.2065748057651,31.0499238821524,41.2542944736279,243.792687451249,9.89853299067678
"DAA_070",836.588546125168,58.2626959871497,30.3162440981575,41.5336989815185,283.913141318163,10.4611301632269
"DAA_071",1133.73956676209,33.5246939166701,30.5808914752716,38.8685390107123,213.34851252257,9.81754943976028
"DAA_072",835.407884843957,49.8881157284537,29.8573563005949,39.5344720172866,225.267844009606,10.5317094122032
"DAA_073",779.630778795213,40.770444338671,32.2190179478637,30.4642078509974,173.121856341061,8.37095723448556
"DAA_074",868.849540642737,38.3653507038667,31.7307667391797,31.2972755974937,207.379129237352,9.99311702304277
"DAA_075",787.872494662249,52.8654549830884,29.8659699635769,35.7361564383498,228.344540306963,10.4772438424566
"DAA_076",771.150720694201,47.9999992187996,30.3530884155618,34.2606452180828,192.554802888912,9.88688706370573
"DAA_077",721.147443983614,51.6926861472391,30.8214702179405,33.1599416328922,169.370237505156,10.8143745031949
"DAA_078",961.178367889946,58.6352195416805,29.9684437926633,34.8861333048826,307.935717459581,10.4926269439724
"DAA_079",909.022846492038,39.3474667190145,31.2269644857993,31.4936477034847,220.161479987383,9.29302680955166
"DAA_080",731.791764451251,57.9196485192441,30.6268076811084,33.4839585370725,181.406499112412,10.7146912352371
"DAA_082",830.884072590769,35.6138471431183,33.0829771251462,33.9516118461573,171.503114064565,8.09175125310716
"DAA_083",805.014369094872,53.061695432242,30.1680956137264,32.9472148994858,221.595975550644,10.3642306558148
"DAA_084",1010.35968356297,43.6455730289546,31.4481943521141,39.6812665563389,280.859155705976,10.4647105549761
"DAA_085",971.272375888695,48.6626626449155,30.8138426728248,36.0499463640455,281.657832254689,11.0427597380666
"DAA_086",831.073298667232,50.8592446982865,30.2924720868126,33.6630031303633,235.090953410351,9.25191405833541
"DAA_087",775.58546793691,49.2322549471967,30.8420673761438,33.3153534305247,189.20452471834,9.89373441289294
"DAA_088",929.039807772035,59.6203851646272,30.4573554306637,38.4722164362553,311.861902938172,11.1923960771765
"DAA_089",876.005230937427,65.1823222875296,30.471093957836,37.6927235709943,317.520210391821,10.1638818091374
"DAA_090",749.148230565876,48.5276892244845,30.0217037223569,29.9805867623741,180.674976233202,10.5372624695351
"DAA_091",790.340045363936,47.6479937900889,29.3211918351063,35.321780192802,323.425028930435,10.8253583567524
"DAA_092",724.996069350786,52.8359509179843,30.7714889250327,31.416908070722,175.660769721394,9.90674396039036
