"line","YDHPL","PLHA","SW100","TSW","POM"
"ALB_252-10",NA,NA,NA,NA,NA
"ALB_252-11",NA,NA,NA,NA,NA
"ALB_252-12",NA,NA,NA,NA,NA
"ALB_252-13",NA,NA,NA,NA,NA
"ALB_252-14",NA,NA,NA,NA,NA
"AMADEUS",2741.14957573427,21.2388978535491,22.7123606755621,346.959507919962,13.799214505291
"AND_277",NA,NA,NA,NA,NA
"BAT_477",NA,NA,NA,NA,NA
"BFS_010",NA,NA,NA,NA,NA
"BFS_014",NA,NA,NA,NA,NA
"BFS_029",NA,NA,NA,NA,NA
"BFS_032",NA,NA,NA,NA,NA
"BFS_039",NA,NA,NA,NA,NA
"BFS_067",NA,NA,NA,NA,NA
"BFS_079",NA,NA,NA,NA,NA
"BFS_081",NA,NA,NA,NA,NA
"BFS_084",NA,NA,NA,NA,NA
"BFS_085",NA,NA,NA,NA,NA
"BFS_089",NA,NA,NA,NA,NA
"BFS_095",NA,NA,NA,NA,NA
"BFS_101",NA,NA,NA,NA,NA
"BFS_103",NA,NA,NA,NA,NA
"BFS_112",NA,NA,NA,NA,NA
"BFS_121",NA,NA,NA,NA,NA
"BFS_124",NA,NA,NA,NA,NA
"BFS_125",NA,NA,NA,NA,NA
"BFS_129",NA,NA,NA,NA,NA
"BFS_140",NA,NA,NA,NA,NA
"BFS_141",NA,NA,NA,NA,NA
"BFS_142",NA,NA,NA,NA,NA
"BFS_143",NA,NA,NA,NA,NA
"BNA_001",NA,NA,NA,NA,NA
"BNA_002",NA,NA,NA,NA,NA
"BNA_003",NA,NA,NA,NA,NA
"BNA_004",NA,NA,NA,NA,NA
"BNA_005",NA,NA,NA,NA,NA
"BNA_006",NA,NA,NA,NA,NA
"BNA_007",NA,NA,NA,NA,NA
"BNA_008",NA,NA,NA,NA,NA
"BNA_009",NA,NA,NA,NA,NA
"BNA_010",NA,NA,NA,NA,NA
"BNA_011",NA,NA,NA,NA,NA
"BNA_012",NA,NA,NA,NA,NA
"BNA_013",NA,NA,NA,NA,NA
"BNA_014",NA,NA,NA,NA,NA
"BNA_015",NA,NA,NA,NA,NA
"BNA_016",NA,NA,NA,NA,NA
"BNA_017",NA,NA,NA,NA,NA
"BNA_018",NA,NA,NA,NA,NA
"BNA_019",NA,NA,NA,NA,NA
"BNA_020",NA,NA,NA,NA,NA
"BNA_021",NA,NA,NA,NA,NA
"BNA_022",NA,NA,NA,NA,NA
"BNA_023",NA,NA,NA,NA,NA
"BNA_024",NA,NA,NA,NA,NA
"BNA_025",NA,NA,NA,NA,NA
"BNA_026",NA,NA,NA,NA,NA
"BRB_189",NA,NA,NA,NA,NA
"BRB_191",1843.93854241385,7.37192753725492,24.9728630475258,43.1510592178401,13.1345290806573
"BRB_193",NA,NA,NA,NA,NA
"BRB_198",1810.97949256622,21.79010055594,42.0722688545367,206.649273465625,12.652110055739
"BRB_215",1837.34299656392,17.9311964490129,36.7468765241737,162.904360971175,13.4088614307897
"BRB_264",1495.93736274547,28.9407952871961,32.1130679781712,185.366395764034,13.042165836119
"CAL_096",2115.75318603303,25.7794449952008,40.4850018226243,293.653714042133,13.0117743712569
"CAL_143",1686.11037711497,20.3000795158422,27.722672139328,193.313851255814,13.2212051255769
"CMB_004",1811.04868492028,24.9969339333931,36.7546218584715,235.293050767459,12.4768304845174
"CMB_006",2191.47882268115,22.1212872148387,34.3476160138065,260.585431622773,12.5861710655626
"CMB_010",1624.49205540871,26.0611116693326,36.3226702807356,210.571270004476,12.6967183466593
"CMB_012",1796.96311367718,26.9850298186572,33.4918009517495,276.594487314092,13.7581014915599
"CMB_014",1466.2362801762,27.663578224953,30.805979095529,210.608090984629,12.9684389161516
"CMB_016",1756.28811561859,27.8082136626421,36.7667815347155,228.626960448048,12.7316225946799
"CMB_018",1353.24271579212,18.2305263871897,37.9103037204098,89.8877769849916,13.0794277134683
"CMB_025",1535.31426481796,23.261972377454,44.7315840557714,164.861607742849,12.7424371358004
"CMB_036",1342.77268880608,25.6295285061178,35.0774812572216,149.348283293943,12.4059923347304
"CMB_043",1565.13190063548,22.0824729339382,29.0681563579967,172.314346408838,12.3543036872151
"CMB_045",1612.31876066918,24.1310743026813,35.6716010198214,197.851418736045,12.0013446364788
"CMB_050",1662.88780938213,27.3958910683301,38.2801864238749,233.006172231383,12.1638419712107
"CMB_057",1736.99121803892,23.6807554838698,34.2070466603786,197.161262582472,13.1903710295233
"CMB_073",1765.03766298814,23.0307850853456,30.6070371149982,211.636802112431,12.5371674295729
"CMB_080",2116.84431208064,23.3188786360736,30.35619593794,270.702923571805,12.543249273735
"CMB_095",2030.80021614242,23.7883652897562,35.2823671662796,272.645113731012,13.435294305866
"CMB_103",1172.05085104315,27.9411775230887,30.7829557319425,147.713447007531,12.9021753394376
"CMB_105",1927.96345175193,28.7818630217145,34.3203910032936,283.781630588297,12.6021419444498
"COS_016",1892.15800221488,27.0082411312612,28.5081018201948,276.913992467341,13.0304739628663
"DAA_001",2104.83466790153,21.9293866735185,31.7792957327509,211.47005118806,13.6770512248617
"DAA_002",3164.11689606517,13.2047858205304,39.713918002509,184.491269866717,12.9808738737449
"DAA_003",2506.32114641641,21.5239423571043,38.8844610095336,311.379123256798,12.8353167458178
"DAA_004",2180.55576763257,19.4977107223715,34.573666462018,221.671990757927,13.2617113816642
"DAA_005",2056.21470514955,26.9051826426526,35.1148136060609,317.642716192854,12.9650609919184
"DAA_006",2133.71942921912,32.7908590260746,35.2151479962672,398.993104335487,13.9691799027473
"DAA_007",2394.0823598044,20.6001724458948,36.8347135353175,299.700144353258,13.0092032914272
"DAA_008",2623.67175949852,21.2820500379172,37.0146175232714,272.070965444545,13.1811121306147
"DAA_009",2114.73888641673,24.6490756025251,38.4420081897614,298.613201791329,13.7043430630135
"DAA_010",1954.02528141787,32.2155320212094,35.9492462112416,337.017481630331,13.2559970385043
"DAA_011",2079.86972547721,23.5015974344175,36.2636775559317,259.385844515256,11.9322482975235
"DAA_012",2343.60498361618,19.4712814697385,46.423700378777,216.171026047928,12.4416363762691
"DAA_013",2582.25234956248,13.3076287357277,36.5377063573662,151.133235308359,12.5373907887326
"DAA_014",2486.75821054183,17.5736111839921,45.1923864663015,228.742251246206,13.0796447926908
"DAA_015",2844.10320853073,16.9315190018144,39.3507637059362,253.736191782499,12.3488368582895
"DAA_016",3158.00986100451,16.9655130264141,39.1356725758858,277.497907763484,12.3147029213464
"DAA_017",NA,NA,NA,NA,NA
"DAA_018",2257.8623205639,13.4804374993336,34.7851628032206,161.368746210017,12.3578537418822
"DAA_019",NA,NA,NA,NA,NA
"DAA_020",NA,NA,NA,NA,NA
"DAA_021",2294.25270952684,13.6374011757873,42.9503132488411,163.359954708801,13.033228022376
"DAA_022",NA,NA,NA,NA,NA
"DAA_023",NA,NA,NA,NA,NA
"DAA_024",2965.48697223955,15.909209528723,39.271499348983,181.196434735305,12.2296658729961
"DAA_025",NA,NA,NA,NA,NA
"DAA_026",NA,NA,NA,NA,NA
"DAA_027",2180.10049653635,8.41077867594646,23.5806418397995,94.0366717750387,13.0291587174488
"DAA_028",NA,NA,NA,NA,NA
"DAA_029",2329.0036364316,17.1267774193925,41.2167234205106,204.336347249998,12.6517166672333
"DAA_030",NA,NA,NA,NA,NA
"DAA_031",NA,NA,NA,NA,NA
"DAA_032",NA,NA,NA,NA,NA
"DAA_033",NA,NA,NA,NA,NA
"DAA_034",NA,NA,NA,NA,NA
"DAA_035",NA,NA,NA,NA,NA
"DAA_036",NA,NA,NA,NA,NA
"DAA_037",NA,NA,NA,NA,NA
"DAA_038",NA,NA,NA,NA,NA
"DAA_039",NA,NA,NA,NA,NA
"DAA_040",NA,NA,NA,NA,NA
"DAA_041",2708.60063996054,11.5256090269399,37.978801132808,169.602401810138,13.0458624925171
"DAA_042",NA,NA,NA,NA,NA
"DAA_043",NA,NA,NA,NA,NA
"DAA_044",2218.23187527557,16.4519318737348,36.3205714586031,203.671432209021,12.7354792957705
"DAA_045",2482.07227917795,16.197505201034,41.5906020413034,236.500470166699,13.2525509413597
"DAA_046",NA,NA,NA,NA,NA
"DAA_047",NA,NA,NA,NA,NA
"DAA_048",NA,NA,NA,NA,NA
"DAA_049",2664.16240246616,23.9490748218334,41.9075297939081,382.785122535178,12.9459276771348
"DAA_050",NA,NA,NA,NA,NA
"DAA_051",2008.67134204499,31.2826974007442,36.2651347519791,349.465871909179,13.3059930643882
"DAA_052",2174.50673030635,10.0194890075767,35.7846046433145,124.867542675335,12.9466716477433
"DAA_053",NA,NA,NA,NA,NA
"DAA_054",NA,NA,NA,NA,NA
"DAA_055",NA,NA,NA,NA,NA
"DAA_056",NA,NA,NA,NA,NA
"DAA_057",NA,NA,NA,NA,NA
"DAA_058",NA,NA,NA,NA,NA
"DAA_059",2956.20068620605,13.6168903656173,35.9177062266583,183.72676085729,13.3898377137309
"DAA_060",2184.72074841412,17.5996119877702,37.6979862687258,192.67431682933,12.9179986328315
"DAA_061",NA,NA,NA,NA,NA
