"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW"
"DAB_066",1995.98722417494,1810.1243097771,49.1842682359153,32.0256737981278,64.6674851035061,45.8246278085344,564.423081417076
"DAB_084",2123.40467764541,1732.02005791311,45.6516159538329,31.9086540052992,63.9984253463359,40.8751788258666,497.331086975383
"DAB_090",1953.91833797537,1740.82703541686,54.1466393326436,30.9229277946655,63.1214910460343,36.6765382934043,595.244678050413
"DAB_105",2195.07297678754,1617.05626623459,48.5102107801906,31.8492293901452,62.2807286308241,36.4844199466611,551.167726714626
"DAB_106",2229.79174773585,2069.34756601903,46.9424174295028,31.7243101975732,62.088326963911,39.2559393020102,582.099684325255
"DAB_109",2161.68485922118,1929.32965447828,53.4247155177197,30.5997225708185,61.9576376439575,42.0145152873348,619.865764441004
"DAB_150",2115.60644784209,1993.53656588057,55.0041314500426,32.0434167583028,64.2252436352178,41.2138988805323,648.402108539657
"DAB_187",1985.44334347219,1792.21733474913,55.7562711803206,31.1061399314123,61.5160757580948,34.1548912834317,582.122817456166
"DAB_231",2290.38109978605,1890.10178535087,50.8236613021603,29.9367078136994,61.290012700088,42.9140335073072,616.19834887306
"DAB_233",1995.69519914282,1793.30892299607,54.5895388736839,29.2551693198267,58.6069329907807,43.3135494537812,572.732889010591
"DAB_236",2090.66391572273,1684.38701137174,49.0482328753964,29.2625840473178,62.3700824027013,40.4243789418643,554.475452118245
"DAB_244",2036.38905747145,1736.37231591026,53.9170748546326,29.2777472154691,63.8167063783412,41.7732773091251,588.625301531885
"DAB_251",2482.63920862816,2374.56723278271,50.2836449570925,30.4499093235388,62.9818666056857,41.138140593162,671.824915580347
"DAB_252",2156.78124958452,1928.03556780151,48.6630092619602,30.0950935186674,63.0437581965076,43.6581667533807,538.452627998298
"DAB_256",2199.06365841647,1948.88009240959,52.692367935365,29.1901536630092,62.6263587325343,46.2930054375366,619.812597786279
