"line","YDHPL","YDHA","PLHA","DF","SW100","TSW","POM"
"AFR_722",2323.08267750906,1360.63704998897,20.6215590526827,35.3172450539248,54.5877672681281,299.332651167826,11.1879930262028
"AFR_735",1918.54859639202,1392.84795630108,26.1785592664575,34.8840683744872,50.7077447253392,305.113110546897,12.9658227956841
"ALB_252",NA,NA,NA,NA,NA,NA,NA
"ALB_252-01",NA,NA,NA,NA,NA,NA,NA
"ALB_252-02",NA,NA,NA,NA,NA,NA,NA
"ALB_252-03",NA,NA,NA,NA,NA,NA,NA
"ALB_252-04",NA,NA,NA,NA,NA,NA,NA
"ALB_252-05",NA,NA,NA,NA,NA,NA,NA
"ALB_252-06",NA,NA,NA,NA,NA,NA,NA
"ALB_252-07",NA,NA,NA,NA,NA,NA,NA
"ALB_252-08",NA,NA,NA,NA,NA,NA,NA
"ALB_252-09",NA,NA,NA,NA,NA,NA,NA
"ALB_252-10",NA,NA,NA,NA,NA,NA,NA
"ALB_252-11",NA,NA,NA,NA,NA,NA,NA
"ALB_252-12",NA,NA,NA,NA,NA,NA,NA
"ALB_252-13",NA,NA,NA,NA,NA,NA,NA
"ALB_252-14",NA,NA,NA,NA,NA,NA,NA
"AMADEUS",2543.0964863131,2453.81239374261,37.4738115740998,35.5017271911058,25.4339386088309,548.722741035177,13.8904709744842
"AND_277",NA,NA,NA,NA,NA,NA,NA
"BAT_477",NA,NA,NA,NA,NA,NA,NA
"BFS_010",NA,NA,NA,NA,NA,NA,NA
"BFS_014",NA,NA,NA,NA,NA,NA,NA
"BFS_029",NA,NA,NA,NA,NA,NA,NA
"BFS_032",NA,NA,NA,NA,NA,NA,NA
"BFS_039",NA,NA,NA,NA,NA,NA,NA
"BFS_067",NA,NA,NA,NA,NA,NA,NA
"BFS_079",NA,NA,NA,NA,NA,NA,NA
"BFS_081",NA,NA,NA,NA,NA,NA,NA
"BFS_084",NA,NA,NA,NA,NA,NA,NA
"BFS_085",NA,NA,NA,NA,NA,NA,NA
"BFS_089",NA,NA,NA,NA,NA,NA,NA
"BFS_095",NA,NA,NA,NA,NA,NA,NA
"BFS_101",NA,NA,NA,NA,NA,NA,NA
"BFS_103",NA,NA,NA,NA,NA,NA,NA
"BFS_112",NA,NA,NA,NA,NA,NA,NA
"BFS_121",NA,NA,NA,NA,NA,NA,NA
"BFS_124",NA,NA,NA,NA,NA,NA,NA
"BFS_125",NA,NA,NA,NA,NA,NA,NA
"BFS_129",NA,NA,NA,NA,NA,NA,NA
"BFS_140",NA,NA,NA,NA,NA,NA,NA
"BFS_141",NA,NA,NA,NA,NA,NA,NA
"BFS_142",NA,NA,NA,NA,NA,NA,NA
"BFS_143",NA,NA,NA,NA,NA,NA,NA
"BNA_001",NA,NA,NA,NA,NA,NA,NA
"BNA_002",NA,NA,NA,NA,NA,NA,NA
"BNA_003",NA,NA,NA,NA,NA,NA,NA
"BNA_004",NA,NA,NA,NA,NA,NA,NA
"BNA_005",NA,NA,NA,NA,NA,NA,NA
"BNA_006",NA,NA,NA,NA,NA,NA,NA
"BNA_007",NA,NA,NA,NA,NA,NA,NA
"BNA_008",NA,NA,NA,NA,NA,NA,NA
"BNA_009",NA,NA,NA,NA,NA,NA,NA
"BNA_010",NA,NA,NA,NA,NA,NA,NA
"BNA_011",NA,NA,NA,NA,NA,NA,NA
"BNA_012",NA,NA,NA,NA,NA,NA,NA
"BNA_013",NA,NA,NA,NA,NA,NA,NA
"BNA_014",NA,NA,NA,NA,NA,NA,NA
"BNA_015",NA,NA,NA,NA,NA,NA,NA
"BNA_016",NA,NA,NA,NA,NA,NA,NA
"BNA_017",NA,NA,NA,NA,NA,NA,NA
"BNA_018",NA,NA,NA,NA,NA,NA,NA
"BNA_019",NA,NA,NA,NA,NA,NA,NA
"BNA_020",NA,NA,NA,NA,NA,NA,NA
"BNA_021",NA,NA,NA,NA,NA,NA,NA
"BNA_022",NA,NA,NA,NA,NA,NA,NA
"BNA_023",NA,NA,NA,NA,NA,NA,NA
"BNA_024",NA,NA,NA,NA,NA,NA,NA
"BNA_025",NA,NA,NA,NA,NA,NA,NA
"BNA_026",NA,NA,NA,NA,NA,NA,NA
"BRB_189",NA,NA,NA,NA,NA,NA,NA
"BRB_191",NA,NA,NA,NA,NA,NA,NA
"BRB_193",NA,NA,NA,NA,NA,NA,NA
"BRB_198",NA,NA,NA,NA,NA,NA,NA
"BRB_215",NA,NA,NA,NA,NA,NA,NA
"BRB_264",NA,NA,NA,NA,NA,NA,NA
"CAL_096",2086.48593189639,1504.03300000364,26.7192136712297,33.0087084861392,56.1539400301561,331.1372793712,13.4772877323811
"CAL_143",2523.68098082263,1636.72719767086,23.30939036519,34.9526440415463,39.1649861141615,361.417748927681,13.4858004569885
"CMB_004",NA,NA,NA,NA,NA,NA,NA
"CMB_006",NA,NA,NA,NA,NA,NA,NA
"CMB_010",NA,NA,NA,NA,NA,NA,NA
"CMB_012",1914.08113205591,1538.8876664158,27.6842339756867,36.3073803931448,42.5343592363696,339.716311443,13.733109401164
"CMB_014",NA,NA,NA,NA,NA,NA,NA
"CMB_016",NA,NA,NA,NA,NA,NA,NA
"CMB_018",2113.25911854887,1143.29865834023,18.5589251744762,35.9900936445651,48.6255219458837,253.970395169319,13.6067350159121
"CMB_025",NA,NA,NA,NA,NA,NA,NA
"CMB_036",NA,NA,NA,NA,NA,NA,NA
"CMB_043",NA,NA,NA,NA,NA,NA,NA
"CMB_045",NA,NA,NA,NA,NA,NA,NA
"CMB_050",NA,NA,NA,NA,NA,NA,NA
"CMB_057",NA,NA,NA,NA,NA,NA,NA
"CMB_073",NA,NA,NA,NA,NA,NA,NA
"CMB_080",NA,NA,NA,NA,NA,NA,NA
"CMB_095",NA,NA,NA,NA,NA,NA,NA
"CMB_103",NA,NA,NA,NA,NA,NA,NA
"CMB_105",NA,NA,NA,NA,NA,NA,NA
"COS_016",3070.54366020044,1782.72289657315,20.7081478575745,33.2724991231759,40.5325995059602,394.170746036777,12.8921569471143
"DAA_001",NA,NA,NA,NA,NA,NA,NA
"DAA_002",2753.40818312174,1635.0843561828,20.9751446353514,31.7252770303758,52.2231050978703,359.145810455104,13.1163313232192
"DAA_003",2585.12774565523,1820.19304675242,27.4167462955115,31.6479136440807,49.5132614160812,403.619001530476,13.5248206498659
"DAA_004",NA,NA,NA,NA,NA,NA,NA
"DAA_005",NA,NA,NA,NA,NA,NA,NA
"DAA_006",NA,NA,NA,NA,NA,NA,NA
"DAA_007",2344.83933347816,1647.03027652764,25.7415690474513,34.6945956515216,38.8217758061055,368.893038364881,13.8650295945435
"DAA_008",3405.30794058556,1636.92214238505,16.4525103668168,33.338973617112,39.6507162948547,356.269199586867,12.6247193722003
"DAA_009",3675.17998482394,1809.11613736101,18.882123844653,31.2684199062734,54.2435404188142,398.474776574863,13.2872546196156
"DAA_010",3649.40894319657,1906.96796125735,20.8037472125517,34.1162216433191,44.0614886452148,422.245842975485,13.3162590940787
"DAA_011",NA,NA,NA,NA,NA,NA,NA
"DAA_012",1957.571905356,1377.58376613038,24.0061209442735,31.9549232440159,52.3436284838273,302.972933782076,12.0051054901417
"DAA_013",NA,1570.18251880383,10.3909786396355,32.3091225431423,48.4344093749693,348.337131427917,13.1375452266913
"DAA_014",NA,791.650889551209,4.34613984499586,32.5833701502147,54.6444688924202,174.656384955863,12.0960950801928
"DAA_015",2913.34707757676,2005.48254854026,26.0126690247654,30.5743267362202,52.0646852441607,447.258895864761,13.6680269444225
"DAA_016",3060.57280675822,1870.14365664319,21.8733961001329,31.8889584447164,49.6321691811794,414.45001647082,13.5265651811903
"DAA_017",2010.93607291907,1928.2976215657,39.0208044502513,30.8679603455797,49.0186974378119,427.792963724736,13.5402798092019
"DAA_018",2676.96286423906,2095.33874695022,30.9066050877245,31.2748169005899,51.2817962913562,468.871885239318,14.1798429099939
"DAA_019",1963.75165290324,1990.6604325021,38.4071089804646,31.1236548343872,49.4371622920156,443.627230728686,13.7336256453031
"DAA_020",1887.84689925356,2050.54569497479,40.4749246808302,30.4851457838168,47.491240215635,449.271682137128,13.2022740259747
"DAA_021",NA,1353.07938921321,8.76861483598388,31.5522674462752,63.0773989332294,296.187436464352,12.9158705151315
"DAA_022",2155.97999317921,2222.41557341541,41.1299310818751,30.545726979788,62.7028459789284,493.774346679713,13.7369087151514
"DAA_023",2013.43832254619,1424.59408871988,29.6789465821968,31.1050245770493,52.5214386769412,316.394877437252,13.5405132444888
"DAA_024",4383.05308215501,1967.26978508946,18.7789415553165,31.3845159998248,57.2294441707756,433.698296906278,13.144172769951
"DAA_025",2221.93716949616,2243.62789279241,43.3670260532787,30.9094891948045,47.5072252891053,496.404883409904,13.4991013588649
"DAA_026",2580.35998510745,2068.36625917434,30.5315002895251,31.7382213762233,53.9822061301161,461.935917023731,14.1791067466652
"DAA_027",NA,NA,NA,NA,NA,NA,NA
"DAA_028",2535.41846411536,2083.72236501671,34.5482331667362,31.50234436423,45.5436525918804,464.002305321996,14.0376765632093
"DAA_029",2840.98025000732,1660.69174802278,20.0818065567272,31.2970032731454,57.8897069551132,366.007981668378,13.3041645491205
"DAA_030",2183.0739755664,2329.05246864772,41.0956763006703,34.016083518635,60.1110384960468,512.45388262134,13.239610575227
"DAA_031",1925.54171437735,1912.60742199346,39.1109582982014,30.8565719955925,45.5267614870603,423.916982584559,13.6508445117708
"DAA_032",2060.8850330845,2030.22828808774,37.8754000318446,30.8143913652848,56.6565060614752,452.050796523324,13.7408624062363
"DAA_033",1849.80323758498,2241.88465143621,42.7293171236023,30.7272261964804,56.1586632245289,490.038625720753,12.9495907334893
"DAA_034",2294.7330962126,2099.79195407664,36.634538822994,31.1202431543497,56.6782196590232,465.107213950456,13.3549716170645
"DAA_035",2621.93735872765,2321.37418326817,34.2242787736764,31.0380800487167,55.8796755811644,515.592001493823,13.4960148937814
"DAA_036",1979.01151794805,2065.3243724143,40.7042243291504,30.6062071179095,53.7233630958784,461.504616086659,14.0672065909145
"DAA_037",2130.07525905611,2013.37824172819,36.9050108892494,31.1993254775877,47.7421968012594,445.00906786464,13.4303701337626
"DAA_038",1971.94556081159,1628.53938342598,32.099746893503,30.5847790214222,48.7684617760742,363.248552023187,14.1925222291193
"DAA_039",2205.58234514085,2374.20889135893,46.1368110671141,29.9578603297178,53.1646523454103,523.399963553809,13.5659420890322
"DAA_040",2123.50230589006,2198.06650516534,39.1390247358832,31.2949106580905,53.2889004033785,490.37538393354,14.0412343086127
"DAA_041",NA,1349.22386348944,9.7286076015705,31.6802988515348,52.1711773949113,295.07613746709,12.8862965830302
"DAA_042",2093.50793156029,1816.53113137451,36.7445383804191,31.5314361627027,46.790426189431,406.019645566042,12.8298735726078
