"line","YDHPL","YDHA","PLHA","SW100","TSW","POM"
"ACC_002",670.718657187774,745.253348084049,32.8351323696958,23.6334929234281,135.56402582477,11.9338576648845
"ACC_003",647.232614648943,637.475956698198,21.8428175351754,25.0479483769738,82.9401553945613,8.1801381941453
"ACC_004",448.169187128365,633.620326963508,28.0117492643899,23.893161485274,70.3328215588062,5.97470192846404
"ACC_005",867.984897930163,822.161035147228,28.5084462996687,26.9395881918462,157.446739898327,12.4390618953658
"ACC_007",621.464396333564,711.095874974236,17.2521112167621,20.7774233056178,54.0134254939496,4.73110312979882
"ACC_008",814.411784544481,984.412773864505,29.3335919438702,28.8577158220235,139.368098041488,10.6405396716974
"ACC_009",531.776549211047,542.740152719275,20.4533853497364,20.3014333960723,54.0063064666589,4.73101066120115
"ACC_010",630.363532597067,646.571285845842,24.3192461958452,21.8937912323167,83.8031730009954,7.72051517446301
"ACC_011",650.0154321626,696.114027526829,31.4208912029456,23.4082729038746,117.121006801415,11.1647866790968
"ACC_012",513.1934278809,1115.48146877822,24.5176621410316,24.0084212711803,57.3170554170019,5.02623972737145
"ACC_014",536.047611412598,747.866386680568,18.3604990667355,24.249084073803,53.3041602926419,4.0919963954806
"ACC_017",748.026230608883,779.465201027295,23.1009361792193,25.3075789820915,95.7830681204778,8.51267662793239
"ACC_018",571.943924954631,674.571990369408,31.3848126399338,20.2875324627148,100.032000336869,9.72567951281016
"ACC_022",618.111211915419,790.05841032793,22.3036068074882,19.8712275063235,73.4771109525879,6.40386554595915
"ACC_023",768.122963071135,879.154219693349,17.3583248572498,26.1785716354128,74.9022629146179,6.88299526809091
"ACC_024",799.892957907944,840.101957404713,24.9609513836848,25.0556567002453,121.692542046913,10.9744864891817
"ACC_025",581.699952309439,635.841539216336,12.7389483665071,19.3744353955314,30.0476647731758,2.28285256198395
"ACC_026",714.675581203774,853.902385858361,22.7132224831242,24.9649355041688,81.5431109168548,8.0453802299815
"ACC_027",653.064394045101,684.060132206541,23.8146793427223,23.5491052316316,78.7137102276666,7.66326293130098
"ACC_028",615.87517219383,726.911186450592,34.3970058438899,21.5755892663226,108.331359451322,9.67810214007408
"ACC_029",681.295600268598,890.870537089718,31.3800612496419,25.9667660549596,115.686013456249,7.73277574669287
"ACC_030",544.352959385069,577.214275689364,24.7069659518565,24.4935299464935,69.30224049693,6.25071720587979
"ACC_031",585.082647036064,701.248718062412,26.2175023426359,27.3763580426481,95.0867567907344,8.62110420887826
"AFR_298",790.913138478075,1066.78870459542,30.5508974792744,27.0122543264048,142.919260565514,12.7510876458292
"AFR_619",326.956181178103,483.420229431944,21.7122764646863,21.0620394365444,30.4656166024784,1.59692615515434
"AFR_722",586.841444018968,623.02152383454,29.211746849814,25.0893755234162,84.7627995585466,8.56826036722451
"AFR_735",705.670572619099,814.332771587412,22.5120893795366,24.1583021828838,83.7645069633969,8.06306304166875
"AMADEUS",991.602652404273,1042.97617445653,22.2326443278298,17.2980065692541,146.276498504479,12.4981295217211
"BRB_191",407.305135330674,531.860601175404,24.9118886878671,16.9469204011514,30.8525489167654,2.8018810208566
"BRB_198",280.474289376501,341.51187329225,29.2502979901133,21.0833579600198,30.6746483859884,2.98368275107015
"BRB_215",497.71951213801,486.922857751802,24.4849560682391,20.5025743078511,57.7812704087353,6.35237392663
"BRB_264",524.481985935683,773.746238008215,24.6063469703341,21.9602778207117,55.8454441125173,4.5091480118937
"CAL_096",706.845160616424,709.974885299904,24.1451244264958,25.3408020823923,90.380483223507,8.75613687086121
"CAL_143",378.777186010639,429.746561473895,24.9643254349622,18.7774498371208,48.3514035501666,5.23137799886332
"CMB_004",614.35777858444,663.247581703832,12.9843012345347,20.3176220146052,43.3152114769195,3.26771137744425
"CMB_006",850.74990274828,734.337176431945,21.0102777916388,23.028477667107,103.473355216279,9.04748496976918
"CMB_010",440.24697082322,1045.09911173532,22.6936150076877,27.0415981125763,51.219400280933,4.09141979994741
"CMB_012",555.318985651695,542.724363639708,21.6644451460484,20.5601607247013,52.0050624162687,4.60753308147793
"CMB_014",378.395817009526,468.844834566003,27.2845973276723,18.5643215215498,39.3821142971172,4.77834452886377
"CMB_016",678.453187752372,886.634049895447,26.8411988073822,24.655974754471,109.304287883023,9.06105457590878
"CMB_018",817.633797211213,1078.21446372336,13.4425931470816,30.8514690139071,59.0018952225246,3.47571136859161
"CMB_025",691.092086273951,657.542492200353,7.92252182237496,35.2830625431751,16.1237927701328,1.32947155058093
"CMB_036",1031.61568860497,1044.78977604314,18.0132986796015,25.2057036512585,58.6315076144682,6.57782169768192
"CMB_043",574.981523420083,974.143651185331,18.1282780054619,25.4512059058109,42.4774812487443,3.87209478226664
"CMB_045",574.18034202564,478.979984708753,12.1661440342398,32.9019600053086,32.6845630067958,2.03935642398657
"CMB_050",441.814004828392,493.876178773407,23.2820191356908,22.7245322491366,35.5374752447099,3.85696488089507
"CMB_057",462.722136875267,861.64016025786,25.2677062443325,22.0733907254745,43.9651335150159,4.55357966964723
"CMB_073",543.225665287841,636.779184266398,19.4463022326378,19.3326907631887,47.8535613951551,3.98686827250266
"CMB_080",696.885898867186,673.09129026473,22.1469347497883,21.0167609346149,84.5503235331974,7.54578592064936
"CMB_095",409.866026190551,615.510622722119,25.2849197216336,17.0438057714446,34.3469793707194,3.83549050292848
"CMB_103",541.441354026888,517.533038351164,17.1911474983817,18.7932372158048,48.3770755519345,3.24128030570601
"CMB_105",520.702703238906,835.648069037462,17.7828587854793,20.1304113078655,41.1786996597482,3.66939809389588
"COS_016",610.998633988153,682.56571667829,25.0311454325571,20.4489891953475,74.8030185898211,7.54066942534341
"DAA_001",637.946978525386,733.32582226565,31.0072839148164,20.6155817878353,106.193125172107,9.96653837732184
"DAA_002",842.878383736231,834.608661262613,20.8133334963712,23.9731459973283,103.335642436985,8.74910755553565
"DAA_003",798.84959801562,896.017921977392,31.5441449453711,22.8472808618099,156.950632615689,12.4883640011662
"DAA_004",838.133357027055,924.57332456176,33.119327502228,23.8933655137837,172.74500497861,12.9802291615003
"DAA_005",689.241485541404,751.852130707055,34.5948992029181,22.6412809897623,136.411474010817,11.5748592822147
"DAA_006",712.351180378885,855.668569487705,34.9410157319357,24.3646055699589,152.215248710618,13.8856431804235
"DAA_007",811.183411312446,1046.99427286897,28.1467342883111,25.7804898145914,143.620570029995,10.0298522340482
"DAA_008",775.162785004861,813.18503652554,27.1408237781318,25.2518084524369,128.255575314221,10.0960107558105
"DAA_009",987.336378381997,996.658738518074,28.9871948231752,26.5111708093331,183.770382951292,13.9584586085401
"DAA_010",649.711151381697,702.428520454875,27.1732459646968,23.398416066969,104.307514815648,8.86585064535841
"DAA_011",893.64199989577,932.883182744215,31.4924401336652,26.3948898199456,163.409841157327,11.9081002301588
"DAA_012",596.680302855705,673.938853603837,27.7536933839224,27.1437934896312,76.2804519492133,6.96714856806239
"DAA_013",919.942988655802,1009.45145102964,28.4331042792115,27.6816633297339,167.534369195004,12.1156183066392
"DAA_014",1110.50489768995,1305.87654597035,24.3198053595247,30.4846525668649,124.895910769932,11.1886964327583
"DAA_015",994.962097997697,1045.70299116922,26.2398273091073,27.4042229664678,159.188605641908,11.3935428916052
"DAA_016",934.383517197389,912.219446079677,24.0139843454225,24.8891348920331,141.550973197431,10.4630033183169
"DAA_018",960.201514409754,1203.74912244626,21.5236447181994,25.6773691062872,125.459271502287,11.173360711215
"DAA_021",794.750879095736,912.767739225023,26.1555480285465,29.7517491782421,124.749650822595,11.0083961087503
"DAA_024",870.171355863314,1121.92316640032,35.821401669759,27.2817558927361,199.391169439693,13.7996634966469
"DAA_027",745.961254435744,960.260116949518,10.7606742417887,24.471142989339,40.6853240211212,2.26796090201931
"DAA_029",666.664533541429,784.439431510315,27.6436725568964,24.8238715038442,95.1894730181309,9.76565214924376
"DAA_041",980.61243808977,1127.10730051221,22.7528243945344,25.8480253401178,128.497423067211,10.8650104441218
"DAA_044",886.703050279202,909.084058716586,29.1324833683525,26.6069218308222,163.093292195823,13.0788135599399
"DAA_045",1077.2054230651,1373.28233824328,21.6544163604655,29.5399533256837,129.611075478255,12.1019885816857
"DAA_049",805.344583005851,959.352531836455,30.3954669086023,24.0859836487286,148.80577796664,11.7083704738333
"DAA_051",980.198221615922,1008.06565525941,22.401580249302,24.7876972586737,135.838881167618,11.3109493885833
"DAA_052",1065.87170416237,1251.70132338299,15.6234334197863,27.5012166114422,91.1259713438277,8.00403528534164
"DAA_059",860.250097262383,954.485504759489,32.8372280313874,27.2363470921643,192.420443195378,14.7408371379247
"DAA_060",878.175023881715,978.973765406726,24.8410748649528,25.1320015822719,128.453943116526,10.8677047916277
"DAA_062",771.361344511145,934.024479696445,26.1399525343916,26.6031817249315,114.700093694232,9.28028939440189
"DAA_065",728.866893826646,975.586633179608,31.1831337925508,24.555502733365,159.880206601727,12.6197012465507
"DAA_078",1104.50419907132,1223.74448811357,32.0174870525546,27.4557839221778,238.79018207842,15.0746758522464
"DAA_081",1209.94707662004,1341.98003401826,12.097716810107,23.5623730020589,56.1983950812878,5.22689430779728
"DAA_086",917.912611493868,931.273436774259,22.6176603984121,24.7310801593218,123.910323655502,11.7396700853461
"DAA_091",1053.89069264554,911.320689453974,20.8712177035703,24.9407796247289,126.48959571351,11.6468240557226
